"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT""20230419 10:01:23,1989.73,1990.27,1990.49,29217.8,29209.6,29233.1,95.15,95.14"
"20230419 10:27:31,1981.91,1981.49,1981.52,29212.5,29206.3,29220.8,95.36,95.3"
"20230419 10:27:42,1982.17,1981.7,1981.72,29213.7,29206.1,29223.7,95.36,95.3"
"20230419 10:27:53,1982.41,1981.84,1981.92,29216.2,29210.9,29226.7,95.38,95.31"
"20230419 10:28:05,1983.42,1982.99,1982.69,29228.0,29218.7,29231.2,95.39,95.32"
"20230419 10:28:17,1983.82,1982.44,1982.69,29216.5,29206.2,29220.2,95.31,95.25"
"20230419 10:28:28,1982.42,1981.5,1981.72,29205.2,29197.1,29214.8,95.27,95.22"
"20230419 10:28:39,1982.42,1981.72,1981.92,29209.3,29200.4,29214.9,95.28,95.22"
"20230419 10:28:51,1982.42,1981.7,1981.92,29214.1,29206.7,29220.9,95.28,95.23"
"20230419 10:29:02,1982.42,1981.21,1981.62,29211.2,29199.9,29213.4,95.26,95.2"
"20230419 10:29:13,1982.42,1981.32,1981.42,29214.2,29205.4,29220.8,95.26,95.2"
"20230419 10:29:24,1982.41,1981.42,1981.62,29214.2,29205.1,29220.8,95.19,95.12"
"20230419 10:29:35,1982.73,1981.99,1982.13,29214.2,29205.4,29220.8,95.28,95.19"
"20230419 10:29:47,1983.3,1982.78,1982.32,29214.2,29209.9,29223.8,95.3,95.23"
"20230419 10:29:58,1983.5,1982.74,1982.52,29224.5,29214.9,29228.3,95.32,95.26"
"20230419 10:30:09,1982.62,1981.47,1981.64,29217.7,29210.8,29223.8,95.29,95.23"
"20230419 10:30:20,1982.41,1981.09,1981.64,29208.7,29195.0,29210.2,95.28,95.2"
"20230419 10:30:31,1982.41,1981.2,1981.65,29208.7,29193.7,29209.7,95.28,95.21"
"20230419 10:30:42,1981.45,1980.33,1980.62,29195.2,29183.8,29195.6,95.22,95.13"
"20230419 10:30:54,1981.49,1980.66,1980.73,29193.2,29183.6,29196.7,95.2,95.13"
"20230419 10:31:05,1981.49,1980.38,1980.72,29193.2,29183.4,29198.6,95.2,95.12"
"20230419 10:31:16,1982.21,1981.24,1981.43,29204.9,29189.6,29204.7,95.24,95.18"
"20230419 10:31:27,1981.9,1981.24,1981.5,29204.9,29190.5,29204.6,95.24,95.17"
"20230419 10:31:39,1981.67,1980.69,1981.31,29197.7,29182.9,29201.6,95.24,95.17"
"20230419 10:31:50,1982.32,1981.44,1981.89,29204.8,29194.4,29210.9,95.27,95.19"
"20230419 10:32:01,1982.53,1981.69,1982.09,29204.8,29195.7,29210.8,95.28,95.22"
"20230419 10:32:12,1982.32,1981.74,1981.97,29200.9,29195.0,29214.4,95.29,95.22"
"20230419 10:32:23,1982.65,1981.87,1982.28,29213.1,29205.8,29220.4,95.32,95.24"
